"代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"002579","中京电子","2018-12-31T00:00:00","电子元件","1761337240.84","63.6089","7.1121","1505461306.53","14.814617727721","81557970.86","2.434885","21.5708","20.4794","1593013156.04","1.344653"
"002579","中京电子","2017-12-31T00:00:00","电子元件","1076553203.25","35.5539","17.0636","897940485.12","159.25175154663","23744017.7","-0.786064","516.5376","17.0266","679423959.96","0.14312"
"002579","中京电子","2016-12-31T00:00:00","电子元件","794188458.63","37.2622","24.4631","648115561","3.76830995162597","110986387.78","2.795709","221.0053","17.2518","594359323.79","-0.022587""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000636","风华高科","2019-03-31T00:00:00","电子元件","852257434.51","1.1945","-20.2572","917611296.47","41.9734029296786","157110055.85","0.35107","21.6125","31.3114","1113767037.89","-0.21696"
"000636","风华高科","2018-12-31T00:00:00","电子元件","4580200601.43","36.5109","-25.2774","3913135384.51","5.34562187108663","1017172198.71","3.120629","-72.761","41.6695","1515289989.87","-0.133087"
"000636","风华高科","2017-12-31T00:00:00","电子元件","3355189485.28","20.9362","29.9311","2539828988.65","41.4505468054538","246848779.61","1.866649","-9.1714","23.7749","1747915542.59","-0.176751"
"000636","风华高科","2016-12-31T00:00:00","电子元件","2774347241.04","43.0391","23.8724","1995738406.93","2.24015481532747","86110575.8","1.250278","-6.0603","20.0426","2123192698.71","0.173152""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"002230","科大讯飞","2019-03-31T00:00:00","软件服务","1958367539.17","40.1062","-25.6473","1729961323.58","1.50339620584316","101882786.04","0.242591","-68.4537","50.0318","6830467856.6","0.354076"
"002230","科大讯飞","2018-12-31T00:00:00","软件服务","7917221902.67","45.4119","27.0359","7585833991.94","18.3641611311983","542066004","0.247058","264.9265","50.0261","7090827089.85","0.316084"
"002230","科大讯飞","2017-12-31T00:00:00","软件服务","5444688147.38","63.9731","60.2335","5015337319.54","41.984337459856","434675994.14","-0.102707","333.7751","51.3794","5387823164.83","0.686239"
"002230","科大讯飞","2016-12-31T00:00:00","软件服务","3320476689.57","32.7766","73.622","3294329943.08","22.8112053465847","484430415.83","0.139047","820.3134","50.5196","3195171089.94","0.711234""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"600469","风神股份","2019-03-31T00:00:00","汽车行业","1405695517.92","-1.9628","-6.6658","904699157.86","4.10383384644498","88448375.9","1.860318","439.2895","19.1561","4977854315.39","-0.153325"
"600469","风神股份","2018-12-31T00:00:00","汽车行业","6218639534.81","-14.8553","-4.7844","4585935223.82","33.863245986941","18270878.74","1.038466","-82.1338","18.1394","5157442165.28","-0.056882"
"600469","风神股份","2017-12-31T00:00:00","汽车行业","7303614224.03","-0.2941","-16.554","5393524464.05","98.5135367093416","-474993175.83","-6.617806","-211.7086","9.2835","5468499700.04","0.036402"
"600469","风神股份","2016-12-31T00:00:00","汽车行业","7325156147.95","-10.3996","108.9789","6257419697.17","10.8514800224289","84551362.41","-0.433837","-360.5357","14.9587","5276426537.39","-0.335296""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"600519","贵州茅台","2019-06-30T00:00:00","酿酒行业","41172681309.94","16.7971","-16.8518","43329084454.18","11.0581995713101","19951025609.22","0.265592","-22.2061","91.8668","45514872823.37","0.362298"
"600519","贵州茅台","2019-03-31T00:00:00","酿酒行业","22480525254.69","22.2083","1.1264","22758183135.22","39.8781950321234","11221431345.08","0.319097","7.1763","92.1113","30566115048.51","0.044807"
"600519","贵州茅台","2018-12-31T00:00:00","酿酒行业","77199384110.22","26.4263","12.7414","84268695732.62","3.61432320753151","35203625263.22","0.300017","16.7315","91.142","42438186813.48","0.099706"
"600519","贵州茅台","2017-12-31T00:00:00","酿酒行业","61062756866.16","52.0673","-12.7312","64421479343.02","5.30948332334578","27079360255.74","0.619738","-18.7504","89.7962","38590489400","0.041973"
"600519","贵州茅台","2016-12-31T00:00:00","酿酒行业","40155084412.93","20.0564","43.5154","61012964102.54","2.17792144371628","16718362734.16","0.078389","16.103","91.2251","37035995425.69","0.84559""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"601318","中国平安","2019-03-31T00:00:00","保险","378161000000","21.5088","67.05","-","-","45517000000","0.770952","62.5201","-","6677859000000","0.093234"
"601318","中国平安","2018-12-31T00:00:00","保险","976832000000","9.6477","4.9777","-","-","107404000000","0.205594","31.4759","-","6459317000000","0.093843"
"601318","中国平安","2017-12-31T00:00:00","保险","890882000000","25.0443","14.372","-","-","89088000000","0.42783","-0.5286","-","5905158000000","0.160048"
"601318","中国平安","2016-12-31T00:00:00","保险","712453000000","14.9136","-1.8447","-","-","62394000000","0.151117","-62.5858","-","5090442000000","0.16979""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"002415","海康威视","2019-06-30T00:00:00","安防设备","23923273424.5","14.5983","40.6175","25100138387.74","5.26229288679227","4216755210.24","0.016724","74.5072","46.3263","27412534764.08","0.385386"
"002415","海康威视","2019-03-31T00:00:00","安防设备","9942448619.42","6.168","-37.9932","11410249255.26","3.91844274079377","1536118222.96","-0.154103","-61.1804","44.8248","20961980552.49","0.179946"
"002415","海康威视","2018-12-31T00:00:00","安防设备","49837132481.61","18.9275","24.039","51986564929.24","5.20148936810472","11352869241.32","0.206359","21.8156","44.8534","25520600681.55","0.21717"
"002415","海康威视","2017-12-31T00:00:00","安防设备","41905476572.07","31.223","25.6469","42136145087.13","16.8084192910709","9410855084.82","0.26768","13.867","43.9994","20966842028.52","0.242856"
"002415","海康威视","2016-12-31T00:00:00","安防设备","31934544088.82","26.3248","25.608","32675031364.22","9.36550838101088","7423683960.91","0.264645","14.6758","41.5908","16869887264.87","0.52939""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"002138","顺络电子","2019-03-31T00:00:00","电子元件","544658164.44","10.7007","-11.0668","553586302.95","25.947749457901","83895061.89","-0.177077","-28.4325","34.7783","1142925455.97","0.354594"
"002138","顺络电子","2018-12-31T00:00:00","电子元件","2362042839.62","18.8415","-1.2069","2588703374.29","52.8671054107206","478584370.69","0.402346","-13.1893","34.6416","879702936.21","0.225869"
"002138","顺络电子","2017-12-31T00:00:00","电子元件","1987557913.8","14.4736","3.7607","2144869617.48","17.5068001514826","341274033.02","-0.049724","2.2321","33.4776","717615991.56","-0.478447"
"002138","顺络电子","2016-12-31T00:00:00","电子元件","1736258766.5","31.6069","6.3837","1560211386.64","13.5032895307292","359131458.08","0.363559","-6.0252","37.006","1375921587.97","0.655747""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000875","吉电股份","2019-03-31T00:00:00","电力行业","2294132117.42","14.1306","-0.4138","1818481360.15","4.78694924641479","160692111.45","0.150433","41.3661","26.1257","29051951949.02","0.086157"
